Metric,Region,Creditor,Sector,Year,Value
State budget income,,,Direct taxes,2020,13822
State budget income,,,Indirect taxes,2020,13315
State budget income,,,Property and resource taxes,2020,5981
State budget income,,,Other taxes and non-tax revenues,2020,5228
State budget income,,,Extrabudgetary Fund,2020,5484
State budget income,,,Other Extrabudgetary Funds,2020,883
State budget income,,,FRD,2020,1250
State budget income,,,Off-budget accounts of budgetary organizations,2020,0
State budget expenditure,,,Social,2020,18001
State budget expenditure,,,Funds and grants to develop NGO and civil society insituties,2020,19
State budget expenditure,,,Economy,2020,3138
State budget expenditure,,,Centralized Investment,2020,7083
State budget expenditure,,,State authority and administration,2020,2022
State budget expenditure,,,Self-governing bodies,2020,219
State budget expenditure,,,Other,2020,8398
State budget expenditure,,,Extrabudgetary Funds,2020,8813
State budget expenditure,,,Other Extrabudgetary Funds,2020,1077
State budget expenditure,,,FRD,2020,1386
State budget expenditure,,,Off-budget accounts of budgetary organizations,2020,0
State budget expenditure,,,Expenditures financed by external debt,2020,0
State budget income,Republic of Karakalpakstan,,,2020,2743.93
State budget income,Andijan region,,,2020,2105.86
State budget income,Bukhara region,,,2020,1782.91
State budget income,Jizzakh region,,,2020,1057.96
State budget income,Kashkadarya region,,,2020,2468.81
State budget income,Navoi region,,,2020,1540.86
State budget income,Namangan region,,,2020,1763.02
State budget income,Samarkand region,,,2020,2385.62
State budget income,Surkhandarya region,,,2020,1605.75
State budget income,Syrdarya region,,,2020,716.5
State budget income,Tashkent region,,,2020,2395.47
State budget income,Fergana region,,,2020,2677.28
State budget income,Khorezm region,,,2020,1302.67
State budget income,Tashkent city,,,2020,3156.28
State budget expenditure,Republic of Karakalpakstan,,,2020,3542.03
State budget expenditure,Andijan region,,,2020,3707.95
State budget expenditure,Bukhara region,,,2020,3103.52
State budget expenditure,Jizzakh region,,,2020,2057.69
State budget expenditure,Kashkadarya region,,,2020,4603.17
State budget expenditure,Navoi region,,,2020,1818.19
State budget expenditure,Namangan region,,,2020,3776.93
State budget expenditure,Samarkand region,,,2020,3811.61
State budget expenditure,Surkhandarya region,,,2020,3246.58
State budget expenditure,Syrdarya region,,,2020,2375.63
State budget expenditure,Tashkent region,,,2020,3386.79
State budget expenditure,Fergana region,,,2020,4132.06
State budget expenditure,Khorezm region,,,2020,2278.86
State budget expenditure,Tashkent city,,,2020,5349.75
Public Debt,,Asian Development Bank,,2020,4985
Public Debt,,World Bank,,2020,3734
Public Debt,,Islamic Development Bank,,2020,824
Public Debt,,Asian Infrastructure Investment Bank,,2020,1
Public Debt,,International Monetary Fund,,2020,397
Public Debt,,European Bank for Reconstruction and Development,,2020,2
Public Debt,,"Other IMF (Agricultural Development Fund, OPEC Fund and EBRD)",,2020,114
Public Debt,,"China Development Bank, China Exim Bank, etc.",,2020,4020
Public Debt,,Japan International Cooperation Agency and others,,2020,2376
